名称,URL,速度(MB/s),分类
CCTV2,http://112.99.195.122:65000/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0,0.909,央视 SD（499条）
CCTV2,http://120.202.94.181:9446/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0,0.764,央视 SD（499条）
CCTV2,http://120.211.62.180:8000/hls/2/index.m3u8,0.903,央视 SD（499条）
CCTV2,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovLzIyMi44NS4xOTguOTI6ODAwMC9obHMvMi9pbmRleC5tM3U4,0.880,央视 SD（499条）
CCTV2,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV2,0.895,其它
CCTV2,http://livea-ori.huarentv.live:14993,0.789,其它
CCTV3,http://112.132.10.54:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.781,央视 SD（499条）
CCTV3,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV3,0.845,其它
CCTV4,http://120.202.94.181:9446/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0,0.878,央视 SD（499条）
CCTV4,http://120.70.60.179:85/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0,0.737,央视 SD（499条）
CCTV4,http://120.211.62.180:8000/hls/4/index.m3u8,0.717,央视 SD（499条）
CCTV4,http://183.234.143.5:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0,0.703,央视 SD（499条）
CCTV4,http://112.99.195.122:65000/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0,0.776,央视 SD（499条）
CCTV4-中文国际,http://119.91.7.169:2026/ysws.php?id=CCTV4,0.821,央视 SD（499条）
CCTV4中文国际,http://39.152.103.17:8089/tsfile/live/1003_1.m3u8,0.910,其它 SD（412条）
CCTV5,http://112.132.10.54:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.755,央视 SD（499条）
CCTV5,http://livea-ori.huarentv.live:14982,0.965,其它
CCTV5+,http://livea-ori.huarentv.live:14981,0.878,其它
CCTV6,http://219.140.6.129:7777/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0,0.743,央视 SD（499条）
CCTV6,http://61.184.46.85:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0,0.833,央视 SD（499条）
CCTV6,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV6,0.908,其它
CCTV7,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV7,0.838,其它
CCTV8,http://112.132.10.54:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0,0.757,央视 SD（499条）
CCTV9,http://36.136.38.87:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,0.825,央视 SD（499条）
CCTV9,http://111.56.90.5/000000000000/5000000010000018384/index.m3u8,0.820,央视 SD（499条）
CCTV9,http://livea-ori.huarentv.live:14904,0.994,其它
CCTV9-记录,http://119.91.7.169:2026/ysws.php?id=CCTV9,0.788,央视 SD（499条）
CCTV世界地理,http://hmfs.f3322.net:3388/hls/28/index.m3u8,0.760,其它 SD（412条）
CCTV音乐,http://112.99.195.122:65000/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0,0.741,央视 SD（499条）
CETV1,http://111.56.90.5/000000000000/5000000002000002652/index.m3u8,0.884,其它
CETV1,http://111.56.90.5/000000000000/5000000002000002652/1.m3u8,0.905,其它
CETV2,http://111.56.90.5/000000000000/5000000011000031201/index.m3u8,0.764,其它
CETV2,http://111.56.90.5/000000000000/5000000011000031201/1.m3u8,0.762,其它
CETV4,http://111.56.90.5/000000000000/5000000006000012123/index.m3u8,0.730,其它
CETV4,http://111.56.90.5/000000000000/5000000006000012123/1.m3u8,0.717,其它
CGTN,http://120.211.62.180:8000/hls/16/index.m3u8,0.890,其它
CHC高清电影,http://183.237.95.108:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0,0.771,其它
DASS-402,https://t33.cdn2020.com/video/m3u8/2025/12/30/0c95c4de/index.m3u8,0.812,其它
DJ没理由,https://bj.bcebos.com/v1/baidu-little-video/vod-gechgi84v43uhfhp/mda-kmbyf4x2aeqt8cds.mp4,0.916,其它
DJ给你留念,https://vd4.bdstatic.com/mda-kim3r6dpd04ypqn4/cae_h264_nowatermark/mda-kim3r6dpd04ypqn4.mp4,0.942,其它
DJ给我一把爱情火,https://vd2.bdstatic.com/mda-ncg42rnzxats8h83/cae_h264_delogo/1647486932330653636/mda-ncg42rnzxats8h83.mp4,0.713,其它
DVMM-106,https://t33.cdn2020.com/video/m3u8/2026/01/01/dd97864f/index.m3u8,0.780,其它
DW Arabic (1080p),https://dwamdstream103.akamaized.net/hls/live/2015526/dwstream103/index.m3u8,0.839,其它 高清/HD（158条）
EBS 2,http://ebsonairios.ebs.co.kr/ebs2tablet500k/tablet500k/ebs2tablet500k.index.m3u8?,0.746,其它
EBS+2,http://ebsonairios.ebs.co.kr/plus2tablet500k/tablet500k/plus2tablet500k.index.m3u8,0.715,其它
EBS-KIDS,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/playlist.m3u8,0.739,其它
EBSi,http://ebsonairios.ebs.co.kr/plus1tablet500k/tablet500k/plus1tablet500k.index.m3u8,0.729,其它
ELta综合FYtv,http://iptv.4666888.xyz/iptv2A.php?id=49,0.747,其它
FC2PPV-4816832,https://t33.cdn2020.com/video/m3u8/2025/12/30/d859d07f/index.m3u8,0.787,其它
FORTUNE TV (720p),http://103.215.194.93:8282/hls/fortunetv/vmix.m3u8,0.927,欧美 SD（41条）
HZGD-321,http://t33.cdn2020.com/video/m3u8/2025/11/10/d0e7afd7/index.m3u8,0.928,其它
InfoWars The Alex Jones Show (1080p),https://freespeech.akamaized.net/hls/live/2024573/live2/playlist.m3u8,0.859,其它
InfoWars The American Journal (1080p),https://freespeech.akamaized.net/hls/live/2016873/live3/playlist.m3u8,0.870,其它
InfoWars War Room With Owen Shroyer (1080p),https://freespeech.akamaized.net/hls/live/2024574/live4/playlist.m3u8,0.857,其它 高清/HD（158条）
Kordia TV (1080p),https://ptvlive.kordia.net.nz/out/v1/3fc2254c865a457c8d7fbbce227a2aae/index.m3u8,0.777,其它 高清/HD（158条）
